nom_agence;adresse_1;adresse_2;ville;code_postal;telephone;email;adherent_plateforme;date_debut_contrat;date_fin_contrat;statut_contrat;region;type_agence;nom_reseau;secteur_activite;nombre_agents;nombre_transactions;commentaires;contact_principal_nom;contact_principal_prenom;contact_facturation_nom;contact_facturation_prenom
Prévost;rue de Vidal;;Guillotdan;34496;+33 (0)2 54 38 45 72;tleleu@hernandez.com;oui;2024-05-06;;actif;Province-Alpes-Côte d'Azur;réseau;Riou S.A.;commercial;28;362;Devenir sans ouvert suivre sentiment couler or compter.;Laporte;Jeanne;;
Alexandre;29, rue Renée Dupuy;;Saint Véroniqueboeuf;51470;+33 (0)4 11 02 98 34;valentinedelannoy@meyer.com;non;;;inactif;Nouvelle-Calédonie;réseau;Boyer;investissement;44;35;;Michel;Margot;;
Pires;62, rue de Hamel;;Fischerboeuf;51115;0442120243;garcianath@leroux.com;oui;2024-03-20;;actif;Haute-Normandie;réseau;Leclercq;résidentiel;7;256;Oeuvre plonger projet avant. On retenir apparaître haut ventre au blond. Cesser époque descendre.;Brun;Maurice;Brun;Maurice
Godard et Fils;11, rue Renault;;Lombard-les-Bains;08653;04 86 47 72 65;qberger@boyer.net;oui;2023-12-20;;actif;Nouvelle-Calédonie;réseau;Allain;mixte;34;88;;Hernandez;Lucas;;
Lebrun;44, avenue de Pages;;Lebreton-la-Forêt;86211;0490902304;dos-santosaimee@blin.com;oui;2024-01-09;2025-01-31;actif;Wallis-et-Futuna;réseau;Gomes;autre;17;425;Route fauteuil tapis nombreux. Rouge chambre renverser supérieur trait nature premier.;Brunet;Céline;;
Laurent Maury S.A.S.;35, avenue Faure;;Moulindan;85905;02 33 06 87 05;lucas23@mary.org;non;;;inactif;Lorraine;franchise;Gauthier SARL;commercial;30;22;;Leroy;François;Gilles;Émilie
Rocher Leleu SA;748, boulevard Renée Thomas;;Saint FrançoisBourg;55480;0546273069;morelanais@bigot.fr;non;;;inactif;Province-Alpes-Côte d'Azur;réseau;Girard De Sousa S.A.;atypique;47;166;Toile recommencer ton rue. Endormir debout répandre moins mot connaître.;Lefort;Nicole;;
Perret;rue Imbert;;Duhamelboeuf;21429;+33 1 56 38 70 62;ochretien@moreau.org;oui;2025-10-13;;actif;Saint-Barthélémy;réseau;Lacroix;commercial;16;9;Vieil imposer musique départ avenir installer paysan. Décrire puissant soldat descendre figurer.;Imbert;Pénélope;;
Carlier SA;17, rue Jacob;;DavidVille;46554;0310412424;michelemarques@pichon.fr;non;;;inactif;Nouvelle-Calédonie;réseau;Samson;commercial;7;387;Travail construire etc point atteindre contenir. Geste empire pièce médecin aimer odeur.;Roy;André;Roy;André
Joly Leleu S.A.;83, chemin Alexandre Chevalier;;Poulain;11688;+33 (0)4 82 28 60 91;cousinalain@olivier.fr;non;;;inactif;Pays-de-Loire;indépendante;;investissement;27;214;;Carpentier;Jean;;
Godard et Fils;40, chemin Bonneau;;HuetBourg;85461;+33 (0)4 72 70 15 14;perretchantal@lelievre.fr;non;;;inactif;Saint-Barthélémy;franchise;Didier;commercial;28;182;;Lesage;Véronique;Ramos;Lucy
Maréchal;82, avenue Huet;;Marie;05293;+33 5 94 93 90 13;ypicard@carpentier.fr;non;;;inactif;Limousin;franchise;Payet S.A.;investissement;5;438;Me ici obtenir oreille ici parfaitement. Souvenir rôle époque nourrir membre.;Lefort;Nicole;Lefort;Nicole
Fabre;9, rue Juliette Aubert;;Gallet-les-Bains;01516;03 70 50 84 61;tristanpierre@deschamps.net;non;;;inactif;Saint-Barthélémy;indépendante;;commercial;40;326;Beau époque remettre. Commun soldat car. Second source profiter forme et erreur.;Dumas;Zoé;;
Gomes;6, rue Odette Valentin;;Devaux;97613;0326932510;ferreiramaryse@benard.net;oui;2024-01-29;;actif;Nouvelle-Calédonie;réseau;Gallet;autre;26;98;Présenter long décider second apprendre ouvrir. Ville quarante pendre briller bien fonction de.;Ramos;Lucy;;
Da Costa;11, rue Boulay;;AubertBourg;90722;05 08 65 25 47;rivieremargot@rousseau.com;non;;;inactif;Province-Alpes-Côte d'Azur;indépendante;;résidentiel;10;33;Nous véritable même robe hors faux. Quatre seconde haut poussière.;Lesage;Véronique;Besnard;Émilie
Garnier Lefebvre SARL;44, boulevard de Muller;;Dupuy-la-Forêt;61142;+33 6 38 94 10 17;isaacchauvin@le.com;oui;2025-08-02;;actif;Saint-Pierre-et-Miquelon;réseau;Didier S.A.S.;atypique;25;15;;Besson;Maggie;Buisson;Gabrielle
Riou;91, boulevard de Coulon;;Boucher;35602;+33 (0)4 34 66 03 14;valletclaude@chevalier.com;non;;;inactif;Poitou-Charentes;franchise;Gomez;luxe;11;214;"Ce situation ensemble couvrir. Éclater machine soleil.
Glace véritable maladie.";Gilles;Émilie;Morvan;Élisabeth
Ledoux Morvan S.A.;rue Adrien Cordier;;Da Silva;47784;04 32 71 96 74;micheljean@cohen.com;non;;;inactif;Guadeloupe;franchise;Pineau Lacroix SARL;commercial;4;6;Douleur absolument comprendre quel posséder mourir. Respect montagne chemise.;Besson;Maggie;;
Gérard Da Costa S.A.R.L.;24, rue de Brunel;;Girard;97284;+33 (0)7 44 50 18 11;arnaudepetitjean@wagner.fr;non;;;inactif;Franche-Comté;franchise;Meunier Étienne SARL;luxe;40;337;"Ramener lors robe noir depuis.
Réflexion empire habitant ailleurs. Tout école en haut vide subir.";Boyer;Auguste;;
Bertin;63, rue Théodore Barthelemy;;Collet;53650;01 58 79 99 53;luciepayet@lefevre.com;non;;;inactif;Province-Alpes-Côte d'Azur;réseau;Devaux et Fils;commercial;47;204;;Roy;André;Imbert;Pénélope
